"Patch","Tran","StartN","StartE","CorrN","CorrE","Dir","Quad","Qb","Clid","Litter","k","k.clid","CO.p95","edgetype","distedge","RL200","RL400","RL800","RD200","RD400","RD800"
20,"C63",155763.9506,364060.0314,155763.9506,364059.0314,"EW",1,0,0,0,NA,32,6.24917647058823,"road","18.72794095",1597.554497,5025.348234,14870.69287,0.0127078198625,0.00999359023806818,0.0073931001484375
20,"C63",155763.9506,364060.0314,155763.9506,364058.0314,"EW",2,0,0,2.5,NA,32,7.608,"road","19.67995172",1596.378119,5025.202718,14892.04087,0.0126984623102273,0.00999330085965909,0.00740371350071023
20,"C63",155763.9506,364060.0314,155763.9506,364057.0314,"EW",3,0,0,3.5,NA,32,9.708,"road","20.63196249",1595.23623,5024.638219,14913.38887,0.0126893791022727,0.00999217827642046,0.00741432685298295
20,"C63",155763.9506,364060.0314,155763.9506,364056.0314,"EW",4,0,0,11,NA,32,11.0668235294118,"road","21.58397326",1594.122942,5021.297451,14935.60736,0.0126805234022727,0.00998553470369318,0.00742537297727273
20,"C63",155763.9506,364060.0314,155763.9506,364055.0314,"EW",5,0,0,8.5,NA,32,11.388,"road","22.53598403",1593.009654,5007.619485,14959.43243,0.0126716677022727,0.009958334203125,0.00743721782741477
20,"C63",155763.9506,364060.0314,155763.9506,364054.0314,"EW",6,0,0,8.5,NA,32,11.3543529411765,"road","23.4879948",1591.896366,5007.304151,14982.51818,0.0126628120022727,0.00995770711846591,0.00744869511789773
20,"C63",155763.9506,364060.0314,155763.9506,364053.0314,"EW",7,0,0,6.5,NA,32,11.212,"road","24.44000556",1590.783078,5007.661578,15005.37193,0.0126539563022727,0.00995841791079546,0.00746005706747159
20,"C63",155763.9506,364060.0314,155763.9506,364052.0314,"EW",8,0,0,7,NA,32,10.992,"road","25.39201633",1589.669789,5008.019004,15022.0263,0.0126451005943182,0.00995912870113636,0.00746833693892045
20,"C63",155763.9506,364060.0314,155763.9506,364051.0314,"EW",9,0,0,11,NA,32,10.8496470588235,"road","26.3440271",1588.556501,5008.376431,15036.03319,0.0126362448943182,0.00995983949346591,0.00747530059161932
20,"C63",155763.9506,364060.0314,155763.9506,364050.0314,"EW",10,0,1,3.5,1,32,10.816,"road","27.29603787",1587.443213,5008.733858,15050.04008,0.0126273891943182,0.00996055028579545,0.00748226424431818
20,"C63",155763.9506,364060.0314,155764.9506,364050.0314,"EW",10,1,0,5,NA,32,10.816,"road","26.98997334",1585.463178,5005.122348,15051.08807,0.0126116389159091,0.00995336830568182,0.00748278526207386
20,"C63",155763.9506,364060.0314,155763.9506,364049.0314,"EW",11,0,1,5,1,32,10.8924705882353,"road","28.24804864",1586.417739,5009.091285,15064.00128,0.0126192320147727,0.009961261078125,0.00748920518181818
20,"C63",155763.9506,364060.0314,155762.9506,364049.0314,"EW",11,-1,0,5.5,NA,32,10.8924705882353,"road","28.55411317",1588.397774,5012.702794,15062.87941,0.0126349822931818,0.00996844305625,0.00748864743394886
20,"C63",155763.9506,364060.0314,155764.9506,364049.0314,"EW",11,1,1,9,1,32,10.8924705882353,"road","27.94198411",1584.457583,5005.479775,15065.09496,0.0126036398647727,0.00995407909801136,0.00748974891477273
20,"C63",155763.9506,364060.0314,155765.9506,364049.0314,"EW",11,2,0,7.5,NA,32,10.8924705882353,"road","27.63591958",1582.497427,5001.868265,15066.14295,0.0125880477147727,0.00994689711789773,0.00749026993252841
20,"C63",155763.9506,364060.0314,155763.9506,364048.0314,"EW",12,0,1,6,1,32,11.216,"road","29.20005941",1585.412145,5009.448711,15077.54166,0.0126112329715909,0.00996197186846591,0.00749593690482955
20,"C63",155763.9506,364060.0314,155762.9506,364048.0314,"EW",12,-1,0,6,NA,32,11.216,"road","29.50612394",1587.372301,5013.060221,15076.41978,0.0126268251215909,0.00996915384857954,0.00749537915198864
20,"C63",155763.9506,364060.0314,155764.9506,364048.0314,"EW",12,1,1,8,1,32,11.216,"road","28.89399488",1583.451988,5005.837202,15078.66354,0.0125956408136364,0.00995478989034091,0.00749649465767045
20,"C63",155763.9506,364060.0314,155765.9506,364048.0314,"EW",12,2,1,7,1,32,11.216,"road","28.58793035",1581.491832,5002.225692,15079.78542,0.0125800486636364,0.00994760791022727,0.00749705241051136
20,"C63",155763.9506,364060.0314,155766.9506,364048.0314,"EW",12,3,0,4,NA,32,11.216,"road","28.28186582",1579.531676,4998.614182,15080.90729,0.0125644565136364,0.00994042593011364,0.00749761015838068
20,"C63",155763.9506,364060.0314,155763.9506,364047.0314,"EW",13,0,1,4,1,32,11.716,"road","30.15207018",1584.40655,5009.806138,15091.08204,0.0126032339204545,0.00996268266079546,0.00750266862784091
20,"C63",155763.9506,364060.0314,155762.9506,364047.0314,"EW",13,-1,1,8,1,32,11.716,"road","30.45813471",1586.366706,5013.417648,15089.96016,0.0126188260704545,0.00996986464090909,0.007502110875
