"id","Tran","edgetype","distedge","RD200","RD400","RD800"
50,"Cli102","road","116.6352093",0.00510692631272727,0.00673392549971591,0.00744072710440341
49,"Cli101","road","132.5753111",0.00355521953102273,0.00713189367982955,0.00789677129261364
45,"Cli100","road","93.22717691",0.00721708801625,0.00804320093977273,0.00708697666548296
44,"Cli99","road","139.0978466",0.00213430139840909,0.00698749954715909,0.00756446620880682
43,"Cli98","road","133.3528241",0.00286797151056818,0.00722033157244318,0.00800044746732955
27,"Cli97","road","95.2059924",0.00414672691363636,0.00813800946676136,0.00720066629048296
26,"Cli96","road","137.8234364",0.00217334540181818,0.00728732506448864,0.00762919108735795
25,"Cli95","road","143.2957855",0.00389867164511364,0.00560344453494318,0.00792401931960227
21,"Cli94","road","151.0207225",0.00468096396170455,0.00878801645909091,0.00772305777627841
20,"Cli93","road","141.9061499",0.00213471267545455,0.00813930386420455,0.00808839072443182
15,"Cli92","road","105.8214594",0.00606671409193182,0.00919156926306818,0.00789828948224432
9,"Cli91","road","92.78708868",0.00731112112261364,0.00913113823323864,0.00804369646519887
19,"Cli90","road","100.9804063",0.00765606064045455,0.00737792066732955,0.00578225337713068
15,"Cli89","reservoir","122.0056802",0.00204471025818182,0.00153165605289773,0.00229903736065341
14,"Cli88","reservoir","118.9882491",0.00194721744636364,0.00156816562377841,0.00341312440745739
13,"Cli87","reservoir","99.90347288",0.00230127301011364,0.00157650333431818,0.00387403047450284
12,"Cli86","road","122.5545842",0.00246698824909091,0.00344925907017045,0.00462746982677557
11,"Cli85","road","104.6749843",0.00284297380579545,0.00477875941732955,0.00532630337073864
137,"Cli46","reservoir","95.5021722",0,0,0.00134747899552557
123,"Cli45","reservoir","116.2175085",0,0,0.00138559850227273
121,"Cli44","reservoir","65.31935317",0,0,0.000719117699005682
117,"Cli43","reservoir","55.42507971",0,0.00055138206375,0.0013754343993608
108,"Cli42","reservoir","103.7208468",0,0,0.00179028551107955
104,"Cli41","reservoir","92.51559908",0,0,0.00137211836960227
103,"Cli40","reservoir","149.404936",0,0,0.00151000652975852
102,"Cli39","reservoir","95.46173269",0,0.000383766891335227,0.00162251812137784
91,"Cli38","reservoir","91.82084107",0,0,0.00118837752826705
90,"Cli37","reservoir","154.7159642",0,0,0.0014208695459517
89,"Cli36","reservoir","147.4164507",0,0,0.00158941721640625
88,"Cli35","reservoir","76.40826202",0,0,0.0017845610149858
80,"Cli34","reservoir","71.42055742",0,0,0.00296995087116477
79,"Cli33","reservoir","81.85134664",0,0,0.00271993332088068
77,"Cli32","reservoir","89.61414479",0,0,0.00141632541789773
76,"Cli31","reservoir","188.419295",0,0,0.00161145357883523
75,"Cli30","reservoir","113.6421392",0,0,0.00166883345880682
64,"Cli29","reservoir","81.00097482",0,0,0.00250747114197443
63,"Cli28","reservoir","118.4579828",0,0.000127404300426136,0.00219297296242898
62,"Cli27","reservoir","203.723905",0,0.000620548145994318,0.00173031444488636
61,"Cli26","reservoir","155.2335713",0,0.000846324116590909,0.0017458682037642
60,"Cli25","reservoir","106.770024",0,0.00101273726829545,0.00176648373025568
50,"Cli24","reservoir","169.09511",0,0.0011289243153125,0.00287562538742898
49,"Cli23","reservoir","200.0847132",0,0.00135711597815341,0.00248780825632102
48,"Cli22","reservoir","247.8380928",0,0.00175947696789773,0.00215289937982955
47,"Cli21","reservoir","164.8841464",0,0.00184765430420455,0.00191786204083807
46,"Cli20","reservoir","83.16575449",0,0.00175492312008523,0.00208637467649148
38,"Cli19","reservoir","144.6479551",0,0.00237917044431818,0.00412657924119318
37,"Cli18","reservoir","139.0740999",0,0.00238903005767045,0.00378284329808239
36,"Cli17","reservoir","175.5021032",0,0.00235480512073864,0.00335878245142045
35,"Cli16","road","196.6767318",2.43775539477273e-05,0.0023182306875,0.0027941249875
34,"Cli15","road","175.5455374",0.00152018106704545,0.00240327196136364,0.00257032524865057
33,"Cli14","reservoir","109.0393366",0.00212597123931818,0.00254054030482955,0.00254852164616477
24,"Cli13","reservoir","65.14288584",0.002284474885,0.00439099866704545,0.00458716959431818
22,"Cli12","reservoir","114.1248437",0.00271702264909091,0.00329295670852273,0.00378888126441761
21,"Cli11","road","105.5895703",0.00358059178988636,0.00297786586363636,0.0035188792515625
